"projectID";"topic";"title"
"252147";"FP7-PEOPLE-2009-IEF";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"336724";"ERC-SG-LS5";"ERC Starting Grant - Neurosciences and neural disorders"
"254658";"FP7-PEOPLE-2009-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"222665";"INCO-2007-2.1";"Bilateral coordination for the enhancement and development of S&T Partnerships"
"267228";"FP7-PEOPLE-2010-COFUND";"Marie-Curie Action: ""Co-funding of regional, National and International Programmes"""
"608829";"FP7-PEOPLE-2013-COFUND";"Marie-Curie Action: ""Co-funding of regional, National and International Programmes"""
"234200";"SST.2008.2.7.3.";"Innovation process in surface transport"
"227347";"GALILEO-2007-1.1-01";"Innovative GNSS-based Road Applications"
"218565";"SST-2007.2.2-04";"Maritime and logistics co-ordination platform"
"218565";"SST-2007-2.2-04";"Maritime and logistics co-ordination platform"
"233672";"AAT.2008.7.0.9.";"Supporting the organisation of conferences, workshops and other research related events"
"297424";"ERC-OA-2011-PoC";"European Research Council ERC Proof of Concept"
"289647";"KBBE.2011.4-06";"Bio-Economy Promotion"
"628818";"FP7-PEOPLE-2013-IEF";"Marie-Curie Action: ""Intra-European fellowships for career development"""
"276347";"FP7-PEOPLE-2010-IEF";"Marie-Curie Action: ""Intra-European fellowships for career development"""
"249156";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"631224";"FP7-PEOPLE-2013-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"611878";"ICT-2013.11.5";"Cross border services, investment readiness and legal advice for ICT SMEs, start-ups and entrepreneurs"
"909389";"FP7-PEOPLE-2009-IIF";"Marie Curie Action: ""International Incoming Fellowships"""
"211549";"INFRA-2007-2.2-01";"Preparatory phase for the projects in the 2006 ESFRI Roadmap"
"255307";"FP7-PEOPLE-2009-IEF";"Marie Curie Action: ""Intra-European Fellowships for Career Development"""
"246644";"ICT-2009.9.1";"International Cooperation"
"276914";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"236215";"FP7-PEOPLE-IOF-2008";"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
"618392";"FP7-PEOPLE-2013-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"618863";"FP7-PEOPLE-2013-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"618907";"FP7-PEOPLE-2013-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"226718";"ERC-AG-PE1";"ERC Advanced Grant - Mathematical foundations"
"276988";"FP7-PEOPLE-2009-RG";"Marie Curie Action: ""Reintegration Grants"""
"203340";"PEOPLE-2007-4-3.IRG";"Marie Curie Action: ""International Reintegration Grants"""
"631983";"FP7-PEOPLE-2013-CIG";"Marie-Curie Action: ""Career Integration Grants"""
"219547";"PEOPLE-2007-4-1.IOF";"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
"279369";"ERC-SG-PE9";"ERC Starting Grant - Universe sciences"
"226628";"ERC-AG-PE4";"ERC Advanced Grant - Physical and Analytical Chemical sciences"
"291071";"ERC-AG-PE6";"ERC Advanced Grant - Computer science and informatics"
"337122";"ERC-SG-PE6";"ERC Starting Grant - Computer science and informatics"
"252745";"FP7-PEOPLE-2009-IOF";"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
"265860";"FP7-PEOPLE-2009-NIGHT";"Marie Curie Action: ""Researchers' Night 2009"""
"612339";"FP7-PEOPLE-2013-IRSES";"Marie Curie Action ""International Research Staff Exchange Scheme"""
"316345";"REGPOT-2012-2013-1";"Any research topic covered by the EU FP7"
"619231";"ICT-2013.8.2";"Technology-enhanced learning"
"244963";"FP7-PEOPLE-2009-NIGHT";"Marie Curie Action: ""Researchers' Night 2009"""
"200285";"PEOPLE-2007-5-1.NIGHT";"Marie Curie Action: ""Researchers' Night 2007"""
"228624";"FP7-2008-PEOPLE-NIGHT";"Marie Curie Action: ""Researchers' Night 2008"""
"608959";"FP7-PEOPLE-2013-COFUND";"Marie-Curie Action: ""Co-funding of regional, National and International Programmes"""
