"language";"availableLanguages";"uri";"title";"type";"source";"represents"
"en";"en,any";"/docs/projects/cnect/8/611878/080/reports/001-alldocsPeriodicReport2ATALANTA.pdf";"all docs_Periodic Report 2_ATALANTA";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/8/611878/080/reports/001-ATALANTAP2REPORTV11PublishableSummary.pdf";"ATALANTA_P2_REPORT_V1.1 - Publishable Summary";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/8/611878/080/reports/001-Reports.zip";"Full Periodic Report";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/8/611878/080/deliverables/001-PR1D62WhitepaperEuropeanAcceleratorsSummit.pdf";"PR1_D6.2 Whitepaper-European Accelerators Summit";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/8/611878/080/reports/001-3AtalantaperiodicreportP3ProjectObjectivesProgressAchievements.pdf";"3_Atalanta-periodic-report-P3 - ProjectObjectives-Progress-Achievements";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/8/611878/080/reports/001-AtalantaperiodicreportP1FullReport.pdf";"Atalanta-periodic-report-P1-FullReport";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/8/611878/080/reports/001-5ATALANTAFinalReport.pdf";"ATALANTA full Final Report";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/8/611878/080/reports/001-2AtalantaperiodicreportP3PublishableSummary.pdf";"2_Atalanta-periodic-report-P3 - Publishable Summary";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/8/611878/080/reports/001-ATALANTAP2REPORTV11ProgressAchievements.pdf";"ATALANTA_P2_REPORT_V1.1 - Progress - Achievements";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/8/611878/080/deliverables/001-PR1D31Accelerationv004HFarm.pdf";"PR1_D3 1_Acceleration_v0 04_H-Farm";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/8/611878/080/reports/001-AtalantaperiodicreportP1PublishableSummary.pdf";"Atalanta-periodic-report-P1-Publishable-Summary";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/8/611878/080/reports/001-AtalantaperiodicreportP1ObjectivesProgressAchievementsDeliverables.pdf";"Atalanta-periodic-report-P1-Objectives-Progress-Achievements-Deliverables";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/001-D41ListofselectedkeyplayersinICTresearchpolicies.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/001-D13collaborationguidelineswithICTpolicymakersandstakeholders.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/001-D33CoachingModulesadapted1.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/D3-1-ICT-Days-schedule-22-04-2010.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/001-D62Newsletters.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/001-D12aConsolidatedreportonfundingmechanismsinLAtargetcountries1.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/001-D23bReportonICTForumCuba15March2011.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/D2-2-Concept-and-methodology-for-ICT-Fora.pdf";"";"relatedPrint";"ppm";""
"en";"en";"/docs/projects/cnect/4/246644/080/deliverables/001-D11ListofstakeholdersandEULACinitiativesoninternationalcooperation.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/001-D34bReportICTDaySafariWorkshopMexico.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/001-D11aConsolidatedListofIntCoopinitiatives1.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/001-D23aReportonICTForumChile3Nov2010.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/001-D32Conceptandmethodologyofinteractiveworkshops.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/D6-3-Dissemination-Materials.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/001-D42scheduleandorganisationofRoundTables.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/001-D12StatusquoofcomplementaryfundingmechanismstoICT.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/D-1-1-List-of-stakeholders-and-EU-LAC-initiatives-on-international-cooperation.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/001-D53ReportonPIplatformcontent.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/001-D44aConsolidatedRoadmap.pdf";"Consolidated Roadmap for ICT research collaboration, together with FORESTA and FIRST";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/246644/080/deliverables/001-D21ICTForaschedule15032010.pdf";"";"relatedPrint";"ppm";""
