"projectID";"physUrl";"id";"availableLanguages";"status";"archivedDate";"type";"source";"represents"
"246644";"http://www.pro-ideal.eu/";"0b75512c844cb9538be90be43b4efcc7";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"ppm";"project"
"295053";"http://www.moict.eu";"c982644cad06a28b0d1ff0f191dc6e23";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"222137";"http://www.autospar.net/";"583a3c6702ea3ba15df9ad3f2a287d9c";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"314171";"http://www.autospar.net";"3baa750d38ee2ce5fa21ea43283f274d";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"314171";"http://www.autospar.net/dash/index.html";"63f5adf8a32146d01342da1a6be7e024";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"295218";"http://heptagexchange.wlv.ac.uk/index.php";"f8d3f0bef150c6c67686a176aae2eab8";"en";"invalid";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"216710";"http://www.value-it.eu";"c70ab1bb30d82f0784e4da7f5c202430";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"ppm";"project"
"216710";"https://web.archive.org/web/20141127073331/http://www.value-it.eu/web/guest/home";"128bdea2979404020db34c4286495c36";"en";"webArchive";"2023-12-05 00:00:00";"relatedWebsite";"editorial";"project"
"609553";"http://suafri-epc.eu/";"8ddb73c4c5c08e25300384f744322317";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"229553";"http://cure.fer.hr";"753a37d3e5b5455b71b7b160b89283d5";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"285939";"http://across.fer.unizg.hr";"47e4e3c4c096635a78571427b0f116ca";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"285939";"http://across.fer.hr/";"b5a65bd2448b50486ac2dcc2fcfb1cdc";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"287091";"http://www.log4green.eu";"705946982771d0ec6cf7a67c497f4e2c";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"287091";"http://www.log4green.eu";"705946982771d0ec6cf7a67c497f4e2c";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"304867";"http://www.hellobrain.eu";"5c50c69e8245094f8488efbb8e37371f";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"304867";"http://www.asaps-sharingage.eu";"2496078f6090a7f3d6dc119d1dd76e5c";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"266200";"http://www.rural-water-supply.net/";"b55bb671ac7e5d10e4655e5626c4974d";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"269118";"http://www.ciluk.org/eye2e.html";"bca02b588779a70aac7c9ec615bd92d2";"en";"invalid";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"265809";"http://www.vtt.fi/sites/tripod/index.jsp";"eb806c253a91935fd6d427910e0e94f7";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"624199";"http://webusers.fis.uniroma3.it/~levi/SPeDISweb/";"8ca5db307e91eb1382498d4d60a719b3";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"222125";"http://humid.pera.com/";"973d8a1159e5a6110080c0ba823c5b7b";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"222045";"http://www.bca-grape.eu/Project_description.cfm";"b9f99625198b777072f19b99b21bc159";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"322259";"https://ec.europa.eu/research-and-innovation/en/projects/success-stories/all/stellar-careers-emerging-black-holes";"b8c8ef2589a18259c4000d1470d81f62";"en";"";"";"relatedStory";"rtd";"project"
"294932";"http://www.combiom-fp7.org/";"1035a150ad80c8210efcf002b154908c";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"294932";"http://www.combiom-fp7.org/";"1035a150ad80c8210efcf002b154908c";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"286927";"http://grafiti.mobi.";"b9ba81b518a99f3e41d622c115baa111";"en";"invalid";"2022-04-26 00:00:00";"relatedWebsite";"sesam";"project"
"286927";"http://dig-ria.velti.com/";"7166597a864e749766de8b012979740d";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"261894";"http://www.cargo-fp7.eu";"399c1fb340639af3a36aab9bb259bff3";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"218285";"http://faculty.biu.ac.il/~sshpiro/";"70121d5c8939fb839418f845b50339c1";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"230674";"http://www.nanoporation.eu/";"52de49b441f448097c048dca353f20c5";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"288989";"http://www.engineer-project.eu/";"75e85bc35711f8aca4aefee68120c820";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"319114";"http://www.EuroNanoForum2013.eu";"6682c6396cb1c054960eba42406179e4";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"315421";"https://connecttoo.wordpress.com/";"dabc3adb705b74cd963ffd657ceb7998";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"315421";"https://connecttoo.wordpress.com/";"dabc3adb705b74cd963ffd657ceb7998";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"216751";"https://web.archive.org/web/20110908003135/http://www.rewind-project.eu/";"8344e2122830895a8c840a4772f1fa20";"en";"webArchive";"2024-02-02 00:00:00";"relatedWebsite";"editorial";"project"
"216751";"http://www.rewind-project.eu/";"c688c2ec1731402cc127a6efb36a743a";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"ppm";"project"
"286753";"http://www.wimbex.com";"5d9f65f234048f11001cb2f979b962d7";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"248804";"http://www.complexenergy.innaxis.org/index.html";"47806ceed392f21b760facc58f51424e";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"ppm";"project"
"609118";"http://www.worldmanufacturingforum.org";"2b8e268f4fc93adfa9c6286533055b90";"en";"legacy";"2022-02-18 00:00:00";"relatedWebsite";"sesam";"project"
"609118";"http://www.worldmanufacturingforum.org/";"f9a73d7bbc011bedcbf52c62b5379e39";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"286709";"https://sites.google.com/site/preventdfu/home";"fc472787f022f1d8891b8063d142315f";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"232545";"http://www.fp7brainsafe.com/";"884a8788b22c2408b58dcb38eb6c38fa";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"615988";"https://www.acqdiv.uzh.ch/en.html";"c651b47d26325b580a657a58077baa45";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"editorial";"project"
"315054";"http://www.watergolf-project.com";"216d8906f60f41e886e8b8a0ef007014";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"315054";"http://www.watergolf-project.com/";"763b87427b4e6a592f6f8d718edd4f68";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"222121";"http://pilemon.pera.com/";"0ddbedceb1b8fb73a307d30b857a95f6";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"606446";"http://svarnish.eu";"1c580d6b9cf8c6a7b15da531339c016b";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"244584";"http://www.the-twist-project.eu.";"94ae57307d7b8d3e123f4d9df19fd7cd";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"251557";"https://arquivo.pt/url/search?l=en&q=http://fp7-swap.dei.unipd.it";"9b8da63fe57e8abff7580eb2356d679e";"en";"webArchive";"2023-10-16 00:00:00";"relatedWebsite";"editorial";"project"
"251557";"http://fp7-swap.dei.unipd.it/";"ece48d18d7dc2007d9448d363141e26c";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"314965";"http://www.HYECON.com";"7d32edb51852de8fbb4da599d3bec659";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"314965";"http://www.hyecon.com/";"edfaac3d144d99edb3b838f08e3a19f2";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"295010";"http://khccbio.khcc.jo";"c67378cd693f7a5de2812a248638d9aa";"en";"invalid";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"287034";"http://www.shockmeat.eu";"f471c617e8a9970c26a313c5c30cfebf";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"285613";"http://www.tracy-project.eu";"ea3b2760d782fc2d9917b7adc1ee2207";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"626518";"http://www.jyu.fi/fysiikka/en/research/accelerator/nucspec/maralowenergy/mara-leb";"395011499e56f036947d4bbf5942f159";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"286489";"http://www.nutristat-project.com";"3d1f2ab4aaf306ae7700c73e1ab19cbb";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"286489";"http://www.nutristat-project.com/";"03ae2af5ad6cb08db2e17add148f9531";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"605019";"http://www.enspirit.eu/";"715cca57802ea303d747aac0d600bcbb";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"605019";"https://ec.europa.eu/research-and-innovation/en/projects/success-stories/all/reducing-harmful-emissions-diesel-locomotives";"9e815653ed0b1b5faeaba5385795bca8";"en";"";"";"relatedStory";"rtd";"project"
"262664";"http://www.icarus-project.eu";"3d82174789528d7a0e9efa2cba67a022";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"315130";"http://www.chaplin-project.eu";"59d42fae42c4818c109229d59e5003e1";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"315130";"http://www.chaplin-project.eu/";"0f7a505a6803ed8d70de7460338caf11";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"296116";"http://www.eurofit-project.eu/";"dfb437526968814dc5b209a4d8899589";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"ppm";"project"
"296150";"https://arquivo.pt/url/search?l=en&q=http://code-research.eu";"416524edd33822370e4fb341739c9a0c";"en";"webArchive";"2023-10-10 00:00:00";"relatedWebsite";"editorial";"project"
"296150";"http://code-research.eu/";"c89bac750c5b918b0854438192a90758";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"ppm";"project"
"231954";"http://futurezone.orf.at/stories/1603627/";"413cc4aa044c83c3d41557eeb55d9391";"en";"";"";"relatedNews";"ppm";"project"
"231954";"http://www.keep-project.eu/ezpub2/index.php";"3a25a72c88747c81aa68b1bb4c93bf79";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"ppm";"project"
"231954";"http://www.techradar.com/news/gaming/uk-uni-developing-massive-games-emulator-528487";"f47d3f4239eaf92d7b78590dbd628ace";"en";"";"";"relatedNews";"ppm";"project"
"231954";"http://www.golem.de/0902/65132.html";"2e7eea9ed33dce468439081fbb3c2722";"en";"";"";"relatedNews";"ppm";"project"
"630833";"https://ec.europa.eu/research-and-innovation/en/projects/success-stories/all/taming-terahertz-radiation-novel-imaging-applications";"73c5f04b724695610a58ae0fd99b0da8";"en";"";"";"relatedStory";"rtd";"project"
"290526";"http://kmmvin.eu/node/103";"e23d9006f63c59cb6ebc3527a962a24d";"en";"invalid";"2022-04-26 00:00:00";"relatedWebsite";"sesam";"project"
"290526";"http://kmmvin.eu/node/103";"e23d9006f63c59cb6ebc3527a962a24d";"en";"invalid";"2022-04-26 00:00:00";"relatedWebsite";"sesam";"project"
"294186";"http://www.if.pwr.wroc.pl/~awojs/ExoticPhases4QIT.html";"a6675a2f4a708168516238b9189515da";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"309837";"http://www.nanopuzzles.eu";"d1558003a08e9ee3657ae7313d7cf0c5";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"287098";"http://www.sepdc-fp7.eu";"018be255b08b3f71cc18c99cc210016c";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"287098";"https://arquivo.pt/url/search?l=en&q=http://www.sepdc-fp7.eu/";"6a91a32dae8ff8efd958ce9153d08c63";"en";"webArchive";"2023-06-12 16:55:06";"relatedWebsite";"editorial";"project"
"287098";"http://www.sepdc-fp7.eu/";"3fa2f92cc56372cd814100d5d917b69c";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"318202";"http://www.biomicsproject.eu";"ea1de0931fd1d4882707928ef7e408b6";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"ppm";"project"
"318202";"https://arquivo.pt/url/search?l=en&q=http://www.biomicsproject.eu";"131765d947f659ec464be5a73994ee01";"en";"webArchive";"2023-10-16 00:00:00";"relatedWebsite";"editorial";"project"
